nominstallation,codeeicresourceobject,codeiris,commune,epci,departement,region,dateraccordement,datemiseenservice,datedebutversion,postesource,tensionraccordement,moderaccordement,combustible,combustiblessecondaires,technologie,typestockage,puismaxinstallee,puismaxrac,nbgroupes,regime,gestionnaire
Confidentiel,17W000000499156D,803120000,Fins,CC de la Haute Somme (Combles - Péronne - Roisel),Somme,Hauts-de-France,10/12/2018,10/12/2018,07/12/2022,,HTA,Direct,,,TERRESTRE,,12000.0,12000.0,1.0,En service,Enedis
Confidentiel,17W000000499685N,,Fins,CC de la Haute Somme (Combles - Péronne - Roisel),Somme,Hauts-de-France,12/12/2018,12/12/2018,07/12/2022,,HTA,Direct,,,TERRESTRE,,12000.0,12000.0,1.0,En service,Enedis
Confidentiel,17W0000004994901,,Fins,CC de la Haute Somme (Combles - Péronne - Roisel),Somme,Hauts-de-France,10/12/2018,10/12/2018,07/12/2022,,HTA,Direct,,,TERRESTRE,,12000.0,12000.0,1.0,En service,Enedis
Confidentiel,17W0000003791418,803150000,Flers-sur-Noye,CC Avre Luce Noye,Somme,Hauts-de-France,04/04/2017,04/04/2017,01/10/2022,AMARG,HTA,Direct,,,TERRESTRE,,8000.0,8000.0,1.0,En service,Enedis
Confidentiel,17W000000379257Q,803150000,Flers-sur-Noye,CC Avre Luce Noye,Somme,Hauts-de-France,03/04/2017,03/04/2017,01/10/2022,AMARG,HTA,Direct,,,TERRESTRE,,10000.0,10000.0,1.0,En service,Enedis
Confidentiel,17W000001445974L,803400000,Fourcigny,CC Somme Sud-Ouest,Somme,Hauts-de-France,21/06/2021,21/06/2021,02/08/2021,BLOCA,HTA,Direct,,,TERRESTRE,,8800.0,8800.0,1.0,En service,Enedis
Confidentiel,17W000000970664G,803420000,Framerville-Rainecourt,CC Terre de Picardie,Somme,Hauts-de-France,29/06/2020,29/06/2020,18/03/2022,VAUVI,HTA,Direct,,,TERRESTRE,,4000.0,4000.0,1.0,En service,Enedis
Confidentiel,17W0000000474159,,Framerville-Rainecourt,CC Terre de Picardie,Somme,Hauts-de-France,01/12/2007,01/12/2007,22/06/2021,VAUVI,HTA,Direct,,,TERRESTRE,,12000.0,12000.0,6.0,En service,Enedis
Confidentiel,17W000000954646A,803520000,Frémontiers,CC Somme Sud-Ouest,Somme,Hauts-de-France,13/12/2019,13/12/2019,27/10/2021,AMIEN,HTA,Direct,,,TERRESTRE,,12200.0,12200.0,3.0,En service,Enedis
Confidentiel,17W000000422442F,803540000,Fresnes-Tilloloy,CC Somme Sud-Ouest,Somme,Hauts-de-France,07/12/2005,07/12/2005,11/02/2021,BZBEL,HTA,Direct,,,TERRESTRE,,10000.0,10000.0,5.0,En service,Enedis
